"size","gender","age","edu","wealthC"
4,"2",6,0,5
4,"2",13,1,5
1,"1",32,3,3
5,"1",32,3,5
5,"2",28,2,5
5,"2",19,2,5
5,"2",13,1,5
5,"1",4,0,5
6,"1",39,2,5
6,"2",26,2,5
6,"2",7,0,5
6,"2",4,0,5
6,"2",0,0,5
6,"2",0,0,5
3,"1",29,3,5
3,"2",1,0,5
3,"2",23,2,5
5,"1",34,3,4
5,"2",25,2,4
5,"1",23,2,4
5,"2",13,1,4
5,"2",0,0,4
22,"2",76,0,5
22,"1",84,0,5
22,"2",26,3,5
22,"1",16,1,5
22,"2",9,1,5
22,"1",31,3,5
22,"2",18,1,5
22,"1",15,1,5
22,"1",19,2,5
22,"2",4,0,5
22,"1",5,0,5
22,"1",17,1,5
22,"2",8,0,5
22,"1",9,0,5
22,"2",27,2,5
22,"2",26,3,5
22,"1",2,0,5
22,"1",1,0,5
22,"2",6,0,5
22,"2",2,0,5
22,"1",11,1,5
22,"1",1,0,5
6,"2",55,1,5
6,"2",16,1,5
6,"2",17,1,5
6,"2",9,1,5
6,"2",18,2,5
6,"1",10,1,5
11,"2",42,2,4
11,"2",16,2,4
11,"2",24,3,4
11,"2",14,1,4
11,"2",10,1,4
11,"2",31,2,4
11,"1",1,0,4
11,"1",5,0,4
11,"1",3,0,4
11,"2",22,2,4
11,"2",12,1,4
6,"2",65,0,4
6,"2",18,1,4
6,"2",6,0,4
6,"1",3,0,4
6,"2",7,0,4
6,"2",27,0,4
4,"1",26,2,5
4,"1",18,2,5
4,"1",22,2,5
4,"1",27,2,5
10,"1",60,3,5
10,"2",45,0,5
10,"2",11,1,5
10,"2",15,1,5
10,"1",12,1,5
10,"1",9,0,5
10,"2",7,1,5
10,"2",7,0,5
10,"2",1,0,5
10,"2",12,1,5
7,"1",58,3,4
7,"2",58,0,4
7,"2",15,2,4
7,"2",7,0,4
7,"2",5,0,4
7,"1",18,1,4
7,"2",27,2,4
4,"1",40,2,5
4,"2",34,2,5
4,"1",8,0,5
4,"2",13,1,5
1,"1",22,2,3
3,"2",32,2,5
3,"1",35,3,5
3,"1",3,0,5
8,"2",71,0,5
8,"2",32,2,5
8,"2",12,1,5
8,"1",16,1,5
8,"1",5,0,5
8,"2",6,0,5
8,"2",0,0,5
8,"1",35,2,5
1,"1",32,3,4
5,"1",33,2,5
5,"2",26,2,5
5,"1",6,0,5
5,"1",4,0,5
5,"2",9,1,5
9,"1",43,3,5
9,"2",22,3,5
9,"2",15,2,5
9,"1",16,2,5
9,"1",15,2,5
9,"2",9,1,5
9,"2",10,1,5
9,"2",2,0,5
9,"1",21,2,5
4,"1",48,2,4
4,"2",45,1,4
4,"1",19,2,4
4,"1",14,1,4
6,"1",35,2,3
6,"2",34,2,3
6,"1",11,1,3
6,"1",9,1,3
6,"2",3,0,3
6,"2",75,0,3
1,"1",45,1,3
3,"1",24,2,4
3,"2",23,2,4
3,"1",2,0,4
5,"1",35,3,4
5,"2",34,2,4
5,"2",14,1,4
5,"1",7,0,4
5,"2",8,1,4
14,"1",58,2,5
14,"2",46,2,5
14,"1",22,3,5
14,"1",20,3,5
14,"2",20,2,5
14,"2",19,2,5
14,"1",19,2,5
14,"1",16,2,5
14,"2",13,2,5
14,"2",11,1,5
14,"1",9,1,5
14,"1",6,0,5
14,"1",5,0,5
14,"2",1,0,5
15,"1",48,3,5
15,"2",47,2,5
15,"2",29,3,5
15,"2",27,2,5
15,"1",19,2,5
15,"2",21,2,5
15,"2",16,2,5
15,"2",15,2,5
15,"2",13,2,5
15,"1",8,0,5
15,"1",6,0,5
15,"1",4,0,5
15,"1",3,0,5
15,"1",3,0,5
15,"1",1,0,5
5,"1",31,3,3
5,"2",25,2,3
5,"2",5,0,3
5,"2",3,0,3
5,"1",8,0,3
8,"2",61,0,5
8,"1",28,3,5
8,"2",23,0,5
8,"2",33,1,5
8,"2",26,2,5
8,"2",8,1,5
8,"2",12,1,5
8,"1",15,1,5
11,"1",56,2,3
11,"2",54,0,3
11,"1",36,0,3
11,"1",20,2,3
11,"2",20,2,3
11,"2",15,1,3
11,"1",17,1,3
11,"1",6,0,3
11,"2",5,0,3
11,"1",2,0,3
11,"1",1,0,3
7,"1",42,3,5
7,"2",28,1,5
7,"2",15,2,5
7,"2",11,1,5
7,"2",9,1,5
7,"1",7,0,5
7,"1",7,0,5
15,"1",33,3,5
15,"2",25,3,5
15,"1",27,3,5
15,"1",18,2,5
15,"2",17,2,5
15,"2",13,1,5
15,"1",22,2,5
15,"2",34,2,5
15,"1",14,1,5
15,"1",50,0,5
15,"1",3,0,5
15,"1",4,0,5
15,"2",60,0,5
15,"2",54,0,5
15,"1",15,2,5
7,"1",45,2,3
7,"2",40,1,3
7,"2",18,1,3
7,"2",16,1,3
7,"1",11,1,3
7,"2",7,0,3
7,"2",2,0,3
8,"1",43,2,5
8,"2",35,2,5
8,"1",18,2,5
8,"2",16,1,5
8,"1",13,1,5
8,"1",12,1,5
8,"2",8,1,5
8,"2",4,0,5
4,"1",49,3,5
4,"1",15,2,5
4,"2",17,2,5
4,"1",10,1,5
1,"1",71,3,5
7,"1",52,3,5
7,"2",48,0,5
7,"2",56,0,5
7,"2",15,2,5
7,"2",15,2,5
7,"1",25,3,5
7,"1",25,3,5
4,"2",37,1,2
4,"1",17,1,2
4,"1",11,1,2
4,"1",8,1,2
9,"2",54,0,3
9,"2",28,1,3
9,"1",9,0,3
9,"2",13,0,3
9,"2",13,0,3
9,"1",7,0,3
9,"1",28,2,3
9,"1",17,2,3
9,"2",3,0,3
6,"1",46,3,5
6,"2",40,2,5
6,"1",20,2,5
6,"1",5,0,5
6,"2",55,2,5
6,"2",15,1,5
3,"2",26,2,4
3,"2",25,3,4
3,"2",1,0,4
5,"1",56,0,3
5,"2",34,0,3
5,"1",4,0,3
5,"1",7,0,3
5,"1",9,1,3
7,"2",41,2,5
7,"1",21,2,5
7,"2",23,2,5
7,"2",19,2,5
7,"2",17,2,5
7,"2",9,1,5
7,"1",7,1,5
3,"1",35,3,5
3,"2",55,2,5
3,"1",9,1,5
9,"1",71,3,3
9,"2",40,1,3
9,"2",12,1,3
9,"2",14,0,3
9,"2",13,0,3
9,"2",9,0,3
9,"1",15,1,3
9,"1",9,1,3
9,"1",4,0,3
11,"1",33,3,5
11,"2",29,0,5
11,"2",68,0,5
11,"1",18,2,5
11,"1",11,1,5
11,"2",5,0,5
11,"2",13,1,5
11,"2",17,2,5
11,"2",16,1,5
11,"1",3,0,5
11,"1",1,0,5
9,"2",42,0,3
9,"1",43,2,3
9,"2",17,2,3
9,"2",10,1,3
9,"1",3,0,3
9,"2",8,0,3
9,"1",11,1,3
9,"1",11,1,3
9,"1",7,0,3
3,"1",56,3,4
3,"2",1,0,4
3,"2",16,1,4
11,"2",33,3,5
11,"2",58,0,5
11,"1",25,3,5
11,"2",21,2,5
11,"2",10,1,5
11,"1",11,1,5
11,"2",9,1,5
11,"2",12,1,5
11,"2",22,3,5
11,"2",0,0,5
11,"1",0,0,5
2,"1",26,0,3
2,"1",30,0,3
1,"1",29,2,5
3,"2",43,0,4
3,"1",52,2,4
3,"2",1,0,4
1,"1",22,0,4
5,"1",58,0,4
5,"2",40,0,4
5,"2",16,1,4
5,"2",11,1,4
5,"2",8,0,4
2,"2",54,2,4
2,"2",24,1,4
2,"1",45,3,4
2,"1",15,2,4
5,"2",36,0,3
5,"1",12,1,3
5,"1",10,1,3
5,"1",6,0,3
5,"2",2,0,3
1,"1",55,2,4
5,"2",31,2,4
5,"2",55,0,4
5,"2",15,2,4
5,"2",12,1,4
5,"1",11,1,4
5,"2",30,0,3
5,"1",48,0,3
5,"2",9,1,3
5,"2",6,0,3
5,"1",2,0,3
2,"1",20,2,4
2,"1",19,2,4
5,"2",23,2,4
5,"2",47,1,4
5,"2",18,2,4
5,"1",6,0,4
5,"1",2,0,4
11,"2",60,0,4
11,"2",55,0,4
11,"1",13,1,4
11,"2",7,0,4
11,"2",9,0,4
11,"1",14,1,4
11,"1",13,1,4
11,"2",32,0,4
11,"1",45,0,4
11,"1",7,0,4
11,"1",2,0,4
3,"1",39,3,5
3,"2",24,2,5
3,"1",4,0,5
5,"1",45,3,5
5,"2",44,2,5
5,"1",12,2,5
5,"1",1,0,5
5,"1",20,2,5
11,"1",48,0,5
11,"2",41,0,5
11,"1",15,2,5
11,"1",9,1,5
11,"2",6,0,5
11,"2",11,1,5
11,"1",4,0,5
11,"2",1,0,5
11,"1",17,2,5
11,"1",22,2,5
11,"2",21,2,5
6,"2",29,2,4
6,"2",11,1,4
6,"2",10,0,4
6,"1",8,0,4
6,"1",3,0,4
6,"2",1,0,4
4,"1",52,2,4
4,"2",31,0,4
4,"1",9,1,4
4,"1",7,0,4
8,"1",40,2,4
8,"2",30,2,4
8,"2",21,2,4
8,"1",15,1,4
8,"1",7,0,4
8,"1",3,0,4
8,"2",3,0,4
8,"2",25,2,4
8,"2",80,0,5
8,"2",49,1,5
8,"1",75,0,5
8,"2",11,1,5
8,"2",23,3,5
8,"1",28,3,5
8,"1",20,2,5
8,"1",13,1,5
12,"1",54,2,4
12,"2",44,2,4
12,"2",26,2,4
12,"1",23,2,4
12,"2",39,1,4
12,"1",16,2,4
12,"2",12,1,4
12,"2",10,1,4
12,"1",10,1,4
12,"1",6,0,4
12,"1",11,1,4
12,"1",1,0,4
5,"1",35,2,4
5,"2",33,2,4
5,"2",9,1,4
5,"1",7,0,4
5,"1",3,0,4
17,"2",40,2,5
17,"2",33,2,5
17,"1",9,1,5
17,"1",5,0,5
17,"2",3,0,5
17,"2",0,0,5
17,"2",18,2,5
17,"2",28,2,5
17,"1",6,0,5
17,"2",30,0,5
17,"2",10,0,5
17,"2",6,0,5
17,"2",15,1,5
17,"2",27,3,5
17,"2",9,1,5
17,"1",27,3,5
17,"2",16,2,5
1,"1",36,3,4
7,"2",40,2,5
7,"2",30,0,5
7,"2",10,0,5
7,"2",6,0,5
7,"2",12,0,5
7,"1",2,0,5
7,"1",0,0,5
4,"1",40,3,5
4,"2",40,3,5
4,"1",3,0,5
4,"1",17,2,5
1,"1",23,2,5
4,"1",32,0,5
4,"2",20,0,5
4,"2",0,0,5
4,"1",7,0,5
2,"1",53,0,4
2,"1",8,0,4
4,"1",37,2,5
4,"2",27,3,5
4,"2",8,0,5
4,"2",5,0,5
3,"1",40,3,5
3,"1",39,0,5
3,"2",25,2,5
3,"2",89,0,5
3,"1",34,3,5
3,"1",20,2,5
5,"1",27,2,5
5,"2",22,1,5
5,"2",9,0,5
5,"1",0,0,5
5,"1",17,1,5
4,"1",57,1,5
4,"2",52,0,5
4,"1",29,1,5
4,"1",4,0,5
1,"2",65,2,5
3,"1",22,2,5
3,"1",20,2,5
3,"1",24,2,5
6,"2",38,0,4
6,"1",42,2,4
6,"2",20,1,4
6,"1",17,2,4
6,"1",14,1,4
6,"2",0,0,4
1,"2",64,0,4
3,"1",53,2,5
3,"2",9,1,5
3,"1",14,1,5
3,"1",27,3,5
3,"2",23,2,5
3,"1",2,0,5
1,"1",21,2,5
2,"2",57,2,5
2,"1",17,1,5
8,"1",41,3,5
8,"2",31,2,5
8,"1",21,2,5
8,"2",17,2,5
8,"2",49,0,5
8,"1",0,0,5
8,"2",7,1,5
8,"2",5,0,5
3,"2",23,1,3
3,"1",25,2,3
3,"2",4,0,3
8,"1",53,2,5
8,"2",43,2,5
8,"1",21,2,5
8,"2",14,1,5
8,"2",15,1,5
8,"1",19,2,5
8,"1",10,1,5
8,"2",11,0,5
2,"2",24,2,5
2,"2",4,0,5
2,"1",26,2,4
2,"2",22,1,4
6,"1",66,0,5
6,"2",55,0,5
6,"2",52,0,5
6,"1",10,1,5
6,"2",7,1,5
6,"2",6,1,5
3,"1",36,3,5
3,"1",20,2,5
3,"1",24,2,5
4,"1",34,3,5
4,"1",32,2,5
4,"1",16,2,5
4,"2",21,2,5
3,"2",29,2,4
3,"1",30,2,4
3,"2",5,0,4
6,"1",40,2,5
6,"2",37,2,5
6,"2",18,2,5
6,"2",8,1,5
6,"2",6,0,5
6,"2",6,0,5
3,"1",64,2,4
3,"2",41,0,4
3,"2",6,0,4
2,"1",28,2,5
2,"1",26,2,5
15,"2",64,0,5
15,"2",50,2,5
15,"1",44,2,5
15,"2",31,2,5
15,"2",33,1,5
15,"2",21,2,5
15,"2",13,1,5
15,"2",12,1,5
15,"1",42,3,5
15,"2",4,0,5
15,"2",16,2,5
15,"1",10,0,5
15,"1",1,0,5
15,"1",0,0,5
15,"1",27,2,5
6,"1",44,3,5
6,"2",23,3,5
6,"2",18,1,5
6,"2",13,1,5
6,"2",12,1,5
6,"2",1,0,5
1,"2",42,2,5
2,"1",24,2,4
2,"1",24,0,4
1,"1",26,2,5
1,"1",20,2,4
2,"1",28,2,4
2,"2",7,0,4
8,"2",34,1,5
8,"2",14,2,5
8,"2",15,1,5
8,"2",16,1,5
8,"1",9,0,5
8,"1",7,0,5
8,"2",2,0,5
8,"2",6,0,5
1,"1",24,3,4
2,"2",30,2,5
2,"1",30,2,5
5,"1",36,3,5
5,"2",33,1,5
5,"2",2,0,5
5,"2",16,1,5
5,"1",15,1,5
3,"1",28,2,4
3,"1",27,2,4
3,"1",27,2,4
1,"1",51,1,5
8,"1",58,0,3
8,"2",17,1,3
8,"1",12,1,3
8,"1",10,1,3
8,"2",14,1,3
8,"2",22,2,3
8,"2",3,0,3
8,"2",7,0,3
6,"2",49,1,5
6,"1",9,0,5
6,"1",9,0,5
6,"1",9,0,5
6,"1",10,1,5
6,"2",7,0,5
2,"1",70,0,4
2,"1",7,0,4
8,"1",38,2,4
8,"2",37,1,4
8,"2",10,1,4
8,"2",17,1,4
8,"2",7,0,4
8,"2",14,1,4
8,"1",2,0,4
8,"2",1,0,4
1,"1",29,2,4
1,"1",29,2,4
4,"1",46,2,5
4,"2",32,0,5
4,"1",22,1,5
4,"1",12,1,5
5,"2",33,0,5
5,"2",15,1,5
5,"2",14,1,5
5,"1",15,2,5
5,"2",6,0,5
2,"1",26,2,4
2,"1",24,2,4
2,"1",35,2,4
2,"2",27,1,4
2,"1",54,2,4
2,"1",21,2,4
5,"2",35,2,5
5,"2",15,1,5
5,"1",17,1,5
5,"2",10,0,5
5,"1",7,0,5
5,"1",26,2,5
5,"2",25,0,5
5,"2",4,0,5
5,"1",2,0,5
5,"1",0,0,5
8,"2",41,3,5
8,"2",20,2,5
8,"1",21,2,5
8,"1",13,1,5
8,"2",11,0,5
8,"2",30,0,5
8,"1",5,0,5
8,"2",5,0,5
4,"1",49,3,5
4,"2",15,1,5
4,"2",15,1,5
4,"2",5,0,5
3,"2",31,1,5
3,"1",11,1,5
3,"1",17,1,5
6,"2",25,2,3
6,"2",12,0,3
6,"2",7,0,3
6,"2",2,0,3
6,"1",5,0,3
6,"1",0,0,3
3,"2",19,1,4
3,"1",44,2,4
3,"1",66,0,4
2,"2",27,2,5
2,"2",7,0,5
2,"1",44,2,5
2,"2",32,2,5
6,"1",37,2,4
6,"2",22,2,4
6,"1",2,0,4
6,"1",6,0,4
6,"1",6,0,4
6,"2",9,0,4
7,"1",63,2,5
7,"2",54,1,5
7,"2",34,2,5
7,"1",5,0,5
7,"1",6,0,5
7,"2",13,0,5
7,"2",7,0,5
1,"1",52,2,3
1,"1",30,2,4
6,"1",29,2,3
6,"2",27,0,3
6,"1",7,0,3
6,"2",4,0,3
6,"2",24,2,3
6,"1",2,0,3
3,"2",31,2,4
3,"1",47,2,4
3,"1",12,1,4
4,"1",42,3,5
4,"2",37,3,5
4,"2",11,1,5
4,"2",1,0,5
4,"1",49,1,3
4,"2",30,0,3
4,"1",9,1,3
4,"2",1,0,3
4,"2",28,0,4
4,"1",40,0,4
4,"1",10,1,4
4,"1",6,0,4
5,"1",34,2,5
5,"2",25,2,5
5,"2",13,1,5
5,"1",6,0,5
5,"2",1,0,5
1,"1",63,2,4
8,"1",34,0,3
8,"2",34,0,3
8,"1",38,0,3
8,"1",19,1,3
8,"1",15,1,3
8,"2",11,0,3
8,"2",9,0,3
8,"1",1,0,3
7,"2",25,2,3
7,"1",25,2,3
7,"1",6,0,3
7,"2",4,0,3
7,"2",39,0,3
7,"2",9,1,3
7,"2",10,1,3
5,"1",29,1,3
5,"2",23,2,3
5,"2",6,0,3
5,"2",2,0,3
5,"1",0,0,3
5,"1",60,0,4
5,"2",40,0,4
5,"2",15,1,4
5,"2",8,0,4
5,"2",4,0,4
5,"1",56,0,4
5,"2",51,0,4
5,"2",12,1,4
5,"1",9,1,4
5,"1",6,0,4
2,"2",53,0,4
2,"2",12,1,4
5,"2",33,0,3
5,"1",38,1,3
5,"2",5,0,3
5,"2",0,0,3
5,"2",10,0,3
1,"1",28,3,5
2,"2",52,3,4
2,"2",58,0,4
13,"1",75,1,4
13,"2",60,0,4
13,"2",23,0,4
13,"2",25,1,4
13,"2",15,0,4
13,"1",13,0,4
13,"2",6,0,4
13,"1",6,0,4
13,"2",3,0,4
13,"2",3,0,4
13,"1",2,0,4
13,"1",2,0,4
13,"1",29,2,4
6,"1",40,2,4
6,"2",33,2,4
6,"1",12,1,4
6,"2",10,1,4
6,"1",5,0,4
6,"2",1,0,4
2,"1",66,0,3
2,"1",13,1,3
3,"2",21,3,4
3,"1",0,0,4
3,"2",18,3,4
2,"1",49,0,3
2,"2",23,1,3
6,"2",50,3,5
6,"2",22,2,5
6,"2",15,1,5
6,"2",7,0,5
6,"2",12,0,5
6,"1",1,0,5
9,"1",43,2,4
9,"2",40,2,4
9,"1",22,2,4
9,"2",20,1,4
9,"1",17,2,4
9,"1",14,1,4
9,"1",2,0,4
9,"2",6,0,4
9,"1",2,0,4
2,"2",22,2,4
2,"2",3,0,4
4,"1",37,1,4
4,"2",38,0,4
4,"1",8,0,4
4,"1",3,0,4
5,"1",48,0,5
5,"2",35,0,5
5,"1",13,1,5
5,"1",10,1,5
5,"1",7,1,5
7,"2",33,0,3
7,"1",39,2,3
7,"1",12,0,3
7,"1",6,0,3
7,"2",4,0,3
7,"1",10,0,3
7,"1",16,1,3
16,"1",45,3,4
16,"2",49,0,4
16,"2",4,0,4
16,"1",20,2,4
16,"2",13,1,4
16,"1",16,2,4
16,"1",18,2,4
16,"2",12,1,4
16,"2",8,0,4
16,"2",3,0,4
16,"2",15,1,4
16,"1",10,0,4
16,"1",0,0,4
16,"2",4,0,4
16,"2",18,2,4
16,"1",17,1,4
11,"1",65,3,5
11,"2",51,0,5
11,"1",34,3,5
11,"2",32,2,5
11,"1",18,2,5
11,"2",12,1,5
11,"1",7,0,5
11,"1",3,0,5
11,"2",10,0,5
11,"1",9,0,5
11,"2",15,1,5
4,"2",36,2,4
4,"2",12,1,4
4,"1",12,1,4
4,"1",9,0,4
4,"2",37,1,5
4,"1",17,2,5
4,"2",13,1,5
4,"2",11,1,5
2,"2",38,3,4
2,"2",13,1,4
9,"1",47,2,4
9,"2",16,2,4
9,"2",11,1,4
9,"1",19,2,4
9,"1",20,2,4
9,"1",14,2,4
9,"1",9,0,4
9,"1",18,0,4
9,"1",70,0,4
6,"2",38,0,3
6,"2",26,1,3
6,"1",17,2,3
6,"2",15,1,3
6,"2",12,1,3
6,"1",10,0,3
4,"2",32,2,3
4,"1",27,2,3
4,"2",3,0,3
4,"1",6,0,3
5,"1",26,2,4
5,"2",22,1,4
5,"2",1,0,4
5,"2",23,0,4
5,"2",1,0,4
7,"1",40,3,5
7,"1",15,2,5
7,"1",4,0,5
7,"2",14,1,5
7,"2",65,0,5
7,"1",2,0,5
7,"1",28,3,5
4,"2",64,0,2
4,"1",23,2,2
4,"1",15,1,2
4,"1",3,0,2
4,"2",27,2,5
4,"1",31,3,5
4,"2",1,0,5
4,"1",3,0,5
8,"1",67,2,3
8,"2",54,0,3
8,"1",13,1,3
8,"2",26,2,3
8,"2",25,2,3
8,"2",23,2,3
8,"1",2,0,3
8,"1",1,0,3
6,"1",52,1,5
6,"2",39,2,5
6,"1",43,3,5
6,"1",23,2,5
6,"1",21,2,5
6,"2",17,2,5
2,"1",40,2,3
2,"1",8,1,3
3,"1",51,2,4
3,"2",51,0,4
3,"1",17,2,4
5,"2",52,2,2
5,"2",13,1,2
5,"2",8,0,2
5,"2",7,0,2
5,"2",2,0,2
8,"1",29,2,5
8,"2",22,0,5
8,"2",18,0,5
8,"1",6,0,5
8,"1",3,0,5
8,"1",1,0,5
8,"1",3,0,5
8,"1",4,0,5
7,"1",43,0,3
7,"2",40,1,3
7,"1",17,1,3
7,"1",15,1,3
7,"1",13,1,3
7,"1",14,1,3
7,"1",7,0,3
6,"1",41,2,5
6,"2",37,2,5
6,"2",19,3,5
6,"1",16,2,5
6,"2",7,1,5
6,"1",5,0,5
3,"1",28,2,4
3,"2",19,1,4
3,"2",0,0,4
5,"1",38,2,3
5,"2",29,2,3
5,"2",6,0,3
5,"1",11,1,3
5,"2",8,0,3
4,"1",24,2,4
4,"2",23,1,4
4,"1",14,1,4
4,"2",12,0,4
15,"1",48,3,5
15,"2",42,0,5
15,"1",17,2,5
15,"1",12,1,5
15,"2",22,2,5
15,"2",1,0,5
15,"2",19,2,5
15,"1",10,1,5
15,"2",9,0,5
15,"2",13,1,5
15,"2",9,0,5
15,"1",1,0,5
15,"2",70,2,5
15,"1",18,1,5
15,"2",15,1,5
9,"1",45,0,3
9,"2",38,0,3
9,"2",17,2,3
9,"1",14,1,3
9,"1",13,1,3
9,"2",10,1,3
9,"2",8,0,3
9,"2",6,0,3
9,"2",0,0,3
7,"2",42,0,4
7,"2",25,3,4
7,"2",16,2,4
7,"2",15,2,4
7,"2",5,0,4
7,"1",11,0,4
7,"2",1,0,4
14,"2",46,0,4
14,"2",37,0,4
14,"2",35,3,4
14,"2",11,1,4
14,"1",9,0,4
14,"2",6,0,4
14,"1",3,0,4
14,"2",13,1,4
14,"2",11,1,4
14,"1",2,0,4
14,"2",6,0,4
14,"2",5,0,4
14,"1",4,0,4
14,"1",13,1,4
1,"1",24,3,5
4,"1",20,0,2
4,"2",20,1,2
4,"1",0,0,2
4,"2",1,0,2
4,"1",32,2,2
4,"2",23,1,2
4,"1",10,0,2
4,"2",5,0,2
4,"2",38,2,4
4,"1",42,2,4
4,"1",3,0,4
4,"1",11,1,4
15,"2",68,2,5
15,"2",31,2,5
15,"1",33,2,5
15,"1",33,2,5
15,"2",25,3,5
15,"1",13,1,5
