"size","gender","age","edu","wealthC"
15,"1",24,2,5
15,"1",9,1,5
15,"1",5,0,5
15,"2",5,0,5
15,"1",5,0,5
15,"2",2,0,5
15,"2",1,0,5
15,"2",6,0,5
15,"2",31,2,5
3,"1",22,2,4
3,"2",19,2,4
3,"1",26,0,4
4,"1",23,2,5
4,"2",23,2,5
4,"1",1,0,5
4,"2",13,1,5
5,"1",41,2,5
5,"2",30,1,5
5,"2",12,1,5
5,"1",9,1,5
5,"1",8,0,5
3,"1",67,0,5
3,"1",17,2,5
3,"2",57,0,5
6,"1",37,2,4
6,"2",34,0,4
6,"1",14,1,4
6,"1",11,1,4
6,"1",6,0,4
6,"1",3,0,4
7,"2",32,0,5
7,"1",35,2,5
7,"2",6,0,5
7,"1",1,0,5
7,"2",10,0,5
7,"1",8,0,5
7,"1",5,0,5
2,"2",44,0,3
2,"1",6,0,3
3,"1",28,0,3
3,"2",24,1,3
3,"2",6,0,3
3,"2",21,2,4
3,"1",28,2,4
3,"1",4,0,4
6,"1",36,0,4
6,"2",25,0,4
6,"2",10,0,4
6,"2",7,0,4
6,"2",3,0,4
6,"2",0,0,4
9,"1",65,0,5
9,"2",59,0,5
9,"1",20,2,5
9,"2",8,1,5
9,"1",6,1,5
9,"2",2,0,5
9,"1",1,0,5
9,"1",2,0,5
9,"2",17,2,5
6,"1",63,2,5
6,"2",60,0,5
6,"1",10,1,5
6,"2",8,1,5
6,"2",10,1,5
6,"1",12,1,5
4,"1",48,1,5
4,"2",38,1,5
4,"2",4,0,5
4,"1",2,0,5
8,"2",60,0,3
8,"2",29,0,3
8,"2",21,0,3
8,"1",18,1,3
8,"1",7,0,3
8,"2",7,0,3
8,"2",3,0,3
8,"2",1,0,3
3,"2",23,2,4
3,"2",3,0,4
3,"2",15,1,4
1,"2",58,2,3
3,"2",23,2,4
3,"1",35,2,4
3,"2",2,0,4
1,"2",26,2,5
2,"1",28,2,4
2,"2",5,0,4
1,"1",20,2,4
2,"2",38,2,5
2,"2",9,1,5
4,"2",36,2,5
4,"1",10,1,5
4,"2",12,1,5
4,"2",10,1,5
6,"2",31,2,4
6,"1",35,3,4
6,"2",8,1,4
6,"1",6,0,4
6,"1",12,1,4
6,"1",25,2,4
3,"2",21,2,3
3,"1",28,2,3
3,"1",1,0,3
3,"1",51,2,5
3,"2",29,2,5
3,"1",2,0,5
6,"2",57,0,4
6,"1",13,1,4
6,"1",15,0,4
6,"2",10,1,4
6,"2",8,0,4
6,"1",3,0,4
2,"1",25,2,4
2,"2",19,0,4
8,"1",34,1,4
8,"2",28,2,4
8,"2",9,0,4
8,"1",6,0,4
8,"1",68,2,4
8,"1",11,0,4
8,"1",7,0,4
8,"1",13,0,4
2,"1",45,3,5
2,"2",35,2,5
4,"1",26,2,5
4,"2",22,2,5
4,"2",11,1,5
4,"1",4,0,5
5,"1",42,2,4
5,"2",30,1,4
5,"1",8,1,4
5,"2",1,0,4
5,"1",42,0,4
1,"2",32,2,4
16,"1",62,1,5
16,"2",40,2,5
16,"2",25,2,5
16,"2",20,2,5
16,"1",18,2,5
16,"1",36,3,5
16,"1",30,3,5
16,"1",29,3,5
16,"1",25,2,5
16,"1",22,2,5
16,"1",17,2,5
16,"2",25,2,5
16,"2",13,0,5
16,"2",9,1,5
16,"1",8,1,5
16,"1",10,1,5
6,"2",22,2,4
6,"2",56,0,4
6,"1",2,0,4
6,"1",0,0,4
6,"2",13,1,4
6,"1",15,1,4
3,"2",20,3,5
3,"1",23,3,5
3,"2",0,0,5
1,"1",29,0,4
4,"2",29,1,4
4,"1",29,1,4
4,"1",9,0,4
4,"2",2,0,4
3,"2",63,0,3
3,"1",69,0,3
3,"2",15,2,3
5,"1",37,2,5
5,"2",42,1,5
5,"2",18,0,5
5,"1",12,1,5
5,"1",10,1,5
3,"1",33,3,4
3,"2",26,3,4
3,"2",5,0,4
4,"1",38,3,4
4,"1",33,0,4
4,"2",24,2,4
4,"2",9,1,4
1,"1",52,3,5
7,"2",32,0,3
7,"1",47,3,3
7,"1",12,2,3
7,"1",9,1,3
7,"2",7,0,3
7,"2",1,0,3
7,"1",7,0,3
2,"2",29,3,5
2,"1",31,2,5
1,"2",35,0,4
5,"2",39,2,5
5,"1",49,2,5
5,"1",14,2,5
5,"2",15,1,5
5,"1",4,0,5
7,"2",31,2,5
7,"1",36,3,5
7,"2",12,1,5
7,"1",8,1,5
7,"2",8,1,5
7,"2",5,0,5
7,"2",4,0,5
5,"2",30,0,4
5,"2",16,1,4
5,"1",9,0,4
5,"2",7,0,4
5,"1",5,0,4
9,"1",73,0,4
9,"2",49,0,4
9,"2",23,2,4
9,"2",18,2,4
9,"2",16,2,4
9,"2",13,1,4
9,"2",10,1,4
9,"1",22,2,4
9,"1",17,2,4
5,"1",36,3,5
5,"2",32,2,5
5,"2",15,1,5
5,"2",4,0,5
5,"1",0,0,5
2,"1",52,0,5
2,"1",27,2,5
1,"2",20,2,5
1,"1",45,3,5
1,"1",35,2,4
1,"1",25,3,4
12,"1",75,3,5
12,"2",45,3,5
12,"1",27,3,5
12,"1",26,3,5
12,"2",24,3,5
12,"2",22,3,5
12,"1",20,3,5
12,"2",18,1,5
12,"2",16,2,5
12,"1",17,1,5
12,"1",4,0,5
12,"2",0,0,5
4,"1",30,0,3
4,"2",28,1,3
4,"1",9,1,3
4,"2",0,0,3
3,"1",27,3,4
3,"2",20,2,4
3,"1",2,0,4
3,"1",39,3,5
3,"2",27,2,5
3,"1",1,0,5
7,"1",36,2,5
7,"2",33,2,5
7,"2",17,2,5
7,"1",15,1,5
7,"2",13,1,5
7,"2",8,1,5
7,"1",0,0,5
1,"1",28,3,5
3,"1",38,3,5
3,"2",37,2,5
3,"1",6,0,5
1,"1",36,2,4
3,"1",70,2,4
3,"2",58,0,4
3,"2",19,2,4
2,"2",49,0,4
2,"1",15,1,4
5,"1",60,0,4
5,"2",47,0,4
5,"2",9,0,4
5,"1",4,0,4
5,"2",2,0,4
4,"2",26,2,4
4,"1",29,3,4
4,"1",15,1,4
4,"1",2,0,4
2,"1",27,2,4
2,"1",21,2,4
6,"2",41,0,4
6,"1",45,0,4
6,"1",21,0,4
6,"1",21,0,4
6,"1",19,0,4
6,"2",15,1,4
2,"1",36,2,5
2,"2",14,2,5
3,"1",43,2,3
3,"2",38,2,3
3,"2",8,0,3
2,"1",32,0,3
2,"2",25,0,3
8,"2",42,2,4
8,"1",48,3,4
8,"2",20,2,4
8,"1",16,2,4
8,"1",11,1,4
8,"1",8,1,4
8,"2",82,1,4
8,"2",27,2,4
3,"1",38,2,4
3,"2",28,1,4
3,"2",0,0,4
7,"1",55,3,4
7,"2",49,0,4
7,"1",18,1,4
7,"1",11,1,4
7,"2",5,0,4
7,"2",37,0,4
7,"1",1,0,4
4,"1",38,2,4
4,"2",32,2,4
4,"1",3,0,4
4,"1",0,0,4
3,"2",28,2,5
3,"1",46,3,5
3,"1",6,0,5
4,"2",33,2,4
4,"2",9,0,4
4,"1",7,0,4
4,"2",15,1,4
5,"2",42,0,4
5,"1",8,0,4
5,"1",13,0,4
5,"2",12,1,4
5,"1",11,1,4
2,"2",27,0,4
2,"2",4,0,4
5,"1",58,2,4
5,"2",47,2,4
5,"1",22,2,4
5,"1",20,2,4
5,"2",4,0,4
2,"1",25,3,5
2,"1",27,2,5
4,"2",56,2,4
4,"2",17,2,4
4,"2",20,2,4
4,"1",6,0,4
3,"1",42,0,4
3,"1",22,2,4
3,"1",17,2,4
2,"1",25,2,5
2,"2",18,2,5
6,"1",31,2,5
6,"2",33,2,5
6,"1",8,0,5
6,"2",10,1,5
6,"2",18,0,5
6,"2",15,1,5
1,"1",28,2,4
1,"1",57,3,4
6,"1",48,2,5
6,"2",42,0,5
6,"1",11,1,5
6,"2",16,2,5
6,"1",23,2,5
6,"1",25,2,5
2,"2",27,0,5
2,"1",29,2,5
1,"2",27,3,5
4,"1",31,2,5
4,"2",29,2,5
4,"1",0,0,5
4,"2",11,1,5
3,"2",32,0,4
3,"2",59,0,4
3,"2",4,0,4
2,"2",53,2,5
2,"2",13,1,5
5,"1",50,3,5
5,"2",39,3,5
5,"1",15,2,5
5,"2",13,1,5
5,"2",8,1,5
15,"2",39,2,5
15,"2",18,2,5
15,"1",16,2,5
15,"2",19,2,5
15,"1",23,2,5
15,"1",29,2,5
15,"2",12,1,5
15,"1",17,2,5
15,"2",10,1,5
15,"2",13,1,5
15,"1",6,1,5
15,"2",5,0,5
15,"2",20,2,5
15,"1",0,0,5
15,"2",3,0,5
1,"1",30,3,4
1,"1",29,2,5
3,"2",22,0,5
3,"1",26,1,5
3,"2",2,0,5
9,"1",34,1,5
9,"2",33,0,5
9,"2",19,2,5
9,"1",16,1,5
9,"2",13,1,5
9,"1",12,1,5
9,"2",13,1,5
9,"2",7,1,5
9,"1",1,0,5
2,"2",26,2,5
2,"2",6,1,5
1,"1",24,2,4
6,"1",39,3,5
6,"2",37,3,5
6,"2",18,2,5
6,"2",16,2,5
6,"2",15,2,5
6,"1",20,2,5
1,"1",32,2,5
4,"2",23,2,5
4,"1",5,0,5
4,"2",0,0,5
4,"1",18,1,5
1,"1",26,3,5
6,"2",55,2,5
6,"1",60,2,5
6,"2",15,2,5
6,"2",18,2,5
6,"1",3,0,5
6,"2",7,0,5
1,"1",25,2,5
5,"2",49,0,4
5,"1",36,0,4
5,"2",10,1,4
5,"2",8,0,4
5,"2",8,0,4
4,"2",28,3,5
4,"1",37,3,5
4,"2",6,0,5
4,"1",12,1,5
6,"1",35,3,5
6,"2",28,3,5
6,"2",9,1,5
6,"1",7,1,5
6,"2",12,1,5
6,"1",20,2,5
12,"2",52,2,5
12,"2",50,1,5
12,"2",32,0,5
12,"2",23,2,5
12,"1",22,2,5
12,"2",20,2,5
12,"2",17,1,5
12,"2",15,2,5
12,"2",12,1,5
12,"2",8,1,5
12,"2",8,1,5
12,"2",3,0,5
2,"1",23,0,4
2,"1",21,2,4
4,"2",53,3,5
4,"1",58,3,5
4,"2",13,1,5
4,"1",10,1,5
4,"2",33,3,5
4,"1",1,0,5
4,"1",5,0,5
4,"2",17,2,5
2,"2",31,2,5
2,"1",9,1,5
5,"1",52,3,5
5,"2",25,2,5
5,"2",6,0,5
5,"2",5,0,5
5,"1",3,0,5
13,"1",48,3,5
13,"2",44,3,5
13,"1",23,3,5
13,"2",13,1,5
13,"2",13,1,5
13,"2",12,1,5
13,"1",15,1,5
13,"1",18,0,5
13,"2",5,0,5
13,"1",0,0,5
13,"2",3,0,5
13,"2",22,2,5
13,"1",0,0,5
4,"2",32,0,5
4,"1",4,0,5
4,"1",10,1,5
4,"2",8,0,5
9,"1",66,3,5
9,"2",60,2,5
9,"2",22,1,5
9,"2",20,2,5
9,"1",13,1,5
9,"2",9,1,5
9,"2",9,0,5
9,"1",3,0,5
9,"1",1,0,5
7,"1",57,2,4
7,"2",40,0,4
7,"2",24,2,4
7,"1",13,2,4
7,"2",9,1,4
7,"1",6,0,4
7,"2",8,0,4
3,"2",50,0,4
3,"2",18,1,4
3,"1",1,0,4
7,"1",30,2,5
7,"2",33,2,5
7,"1",14,1,5
7,"2",14,1,5
7,"2",11,0,5
7,"2",3,0,5
7,"2",1,0,5
6,"2",54,0,5
6,"1",12,1,5
6,"2",6,0,5
6,"2",14,1,5
6,"1",8,0,5
6,"2",5,0,5
1,"1",25,3,5
5,"1",43,0,5
5,"2",41,1,5
5,"1",16,1,5
5,"2",21,2,5
5,"1",18,1,5
3,"2",53,0,5
3,"1",9,1,5
3,"2",7,1,5
4,"2",22,1,4
4,"1",4,0,4
4,"1",3,0,4
4,"1",0,0,4
4,"1",29,2,5
4,"2",26,2,5
4,"2",8,1,5
4,"1",2,0,5
6,"1",45,2,4
6,"2",34,1,4
6,"1",16,2,4
6,"1",10,1,4
6,"2",12,1,4
6,"2",4,0,4
8,"1",54,2,4
8,"2",43,0,4
8,"1",21,2,4
8,"1",18,1,4
8,"2",16,2,4
8,"1",13,1,4
8,"2",10,1,4
8,"1",7,1,4
7,"2",28,1,4
7,"1",45,2,4
7,"1",8,1,4
7,"2",6,0,4
7,"2",1,0,4
7,"2",13,2,4
7,"1",20,2,4
5,"2",33,0,5
5,"1",53,0,5
5,"2",20,1,5
5,"2",4,0,5
5,"1",0,0,5
5,"1",37,2,5
5,"2",23,2,5
5,"1",16,1,5
5,"2",14,1,5
5,"1",1,0,5
1,"1",28,2,5
5,"2",45,1,4
5,"1",19,2,4
5,"1",17,2,4
5,"2",18,2,4
5,"2",0,0,4
4,"1",34,3,5
4,"2",33,2,5
4,"2",13,1,5
4,"2",10,1,5
3,"2",68,0,3
3,"1",10,1,3
3,"1",8,0,3
1,"1",53,1,4
5,"2",25,2,5
5,"2",17,2,5
5,"2",16,1,5
5,"2",5,0,5
5,"1",2,0,5
7,"2",33,0,5
7,"1",42,0,5
7,"1",10,1,5
7,"1",9,1,5
7,"2",6,0,5
7,"1",5,0,5
7,"2",2,0,5
1,"2",23,1,4
9,"1",43,3,5
9,"2",44,2,5
9,"2",22,2,5
9,"1",18,2,5
9,"2",14,1,5
9,"1",17,1,5
9,"2",9,1,5
9,"2",7,1,5
9,"2",4,0,5
9,"2",48,2,5
9,"1",52,2,5
9,"2",10,1,5
9,"2",14,2,5
9,"1",20,2,5
9,"1",18,2,5
9,"2",15,2,5
9,"1",13,1,5
9,"1",11,1,5
2,"1",30,0,5
2,"2",27,2,5
5,"2",76,2,5
5,"1",19,2,5
5,"1",21,2,5
5,"2",12,1,5
5,"2",9,1,5
2,"1",60,2,4
2,"2",55,0,4
2,"1",57,0,4
2,"2",51,0,4
5,"1",47,2,5
5,"2",36,2,5
5,"2",15,1,5
5,"1",9,1,5
5,"2",3,0,5
11,"2",18,1,4
11,"2",45,2,4
11,"1",56,3,4
11,"2",50,1,4
11,"2",16,2,4
11,"2",15,2,4
11,"2",14,2,4
11,"2",11,1,4
11,"1",7,0,4
11,"1",3,0,4
11,"2",2,0,4
5,"1",45,2,4
5,"2",38,0,4
5,"2",11,1,4
5,"1",1,0,4
5,"1",7,0,4
1,"1",30,2,5
2,"1",32,3,5
2,"1",11,1,5
5,"2",36,0,4
5,"2",4,0,4
5,"2",0,0,4
5,"2",38,0,4
5,"2",15,1,4
4,"1",31,3,5
4,"2",25,3,5
4,"1",24,2,5
4,"1",73,3,5
8,"1",34,3,3
8,"1",18,2,3
8,"2",6,0,3
8,"1",9,0,3
8,"2",10,0,3
8,"2",9,0,3
8,"1",11,1,3
8,"1",10,1,3
3,"2",53,0,3
3,"1",21,2,3
3,"1",25,2,3
7,"2",65,2,5
7,"1",32,3,5
7,"2",19,2,5
7,"2",7,0,5
7,"2",2,0,5
7,"2",0,0,5
7,"1",25,1,5
5,"1",25,2,5
5,"2",21,2,5
5,"1",3,0,5
5,"1",7,1,5
5,"2",9,1,5
6,"1",63,3,5
6,"2",54,0,5
6,"1",13,0,5
6,"2",10,0,5
6,"2",9,0,5
6,"1",4,0,5
1,"2",40,1,4
3,"1",29,1,4
3,"2",20,2,4
3,"1",2,0,4
8,"2",39,3,5
8,"2",32,2,5
8,"1",11,1,5
8,"2",7,1,5
8,"1",36,0,5
8,"2",72,0,5
8,"2",20,2,5
8,"2",13,0,5
9,"1",25,3,4
9,"2",27,2,4
9,"1",0,0,4
9,"2",20,2,4
9,"1",8,0,4
9,"1",9,1,4
9,"2",11,0,4
9,"1",60,0,4
9,"2",55,0,4
3,"1",35,3,5
3,"2",21,2,5
3,"1",21,2,5
4,"1",52,3,5
4,"2",37,2,5
4,"1",30,2,5
4,"2",25,0,5
1,"1",27,3,5
1,"1",38,2,3
3,"1",27,3,4
3,"2",26,3,4
3,"2",3,0,4
6,"2",23,3,5
6,"2",24,3,5
6,"2",20,2,5
6,"2",32,2,5
6,"1",48,0,5
6,"2",44,0,5
6,"1",22,2,5
6,"2",21,2,5
6,"1",18,2,5
6,"2",5,0,5
6,"2",22,2,5
6,"1",47,3,5
4,"1",32,2,5
4,"2",30,2,5
4,"1",10,1,5
4,"2",13,2,5
7,"1",40,3,5
7,"2",33,0,5
7,"2",15,2,5
7,"2",10,0,5
7,"1",8,1,5
7,"2",6,0,5
7,"2",4,0,5
3,"1",34,3,5
3,"1",17,2,5
3,"1",20,2,5
3,"1",31,3,5
3,"2",27,3,5
3,"1",0,0,5
4,"1",55,2,5
4,"2",50,2,5
4,"2",24,3,5
4,"2",18,1,5
3,"2",53,0,4
3,"2",15,1,4
3,"2",10,0,4
3,"2",46,2,5
3,"1",44,2,5
3,"2",16,1,5
6,"2",38,0,3
6,"1",40,0,3
6,"2",10,0,3
6,"2",8,0,3
6,"1",20,0,3
6,"2",3,0,3
6,"1",39,2,5
6,"2",36,2,5
6,"1",12,1,5
6,"2",14,2,5
6,"2",5,0,5
6,"1",24,2,5
10,"2",30,2,5
10,"2",63,0,5
10,"1",26,3,5
10,"1",23,2,5
10,"1",22,2,5
10,"1",28,2,5
10,"1",27,3,5
10,"2",13,1,5
10,"1",12,1,5
10,"2",1,0,5
4,"2",18,2,4
4,"1",20,1,4
4,"1",0,0,4
4,"1",15,2,4
4,"2",60,0,4
4,"2",24,1,4
4,"2",3,0,4
4,"2",8,0,4
3,"2",26,0,3
3,"1",30,2,3
3,"2",8,0,3
7,"2",54,3,5
7,"2",22,2,5
7,"1",23,2,5
7,"2",15,2,5
7,"1",2,0,5
7,"1",13,2,5
7,"1",60,3,5
5,"1",34,3,5
5,"2",27,2,5
5,"1",9,1,5
5,"1",4,0,5
5,"2",18,2,5
4,"2",38,3,5
4,"1",18,2,5
4,"2",10,1,5
4,"1",15,1,5
6,"1",36,2,5
6,"2",26,2,5
6,"2",20,2,5
6,"1",12,1,5
6,"1",8,1,5
6,"2",2,0,5
8,"1",27,2,4
8,"1",5,0,4
8,"2",23,1,4
8,"1",25,1,4
8,"1",28,1,4
8,"2",60,0,4
8,"1",6,0,4
8,"1",1,0,4
7,"1",45,2,4
7,"2",28,1,4
7,"1",9,1,4
7,"1",7,0,4
7,"1",6,0,4
7,"2",1,0,4
7,"2",13,1,4
5,"2",34,2,4
5,"1",36,3,4
5,"2",5,0,4
5,"2",5,0,4
5,"1",1,0,4
5,"2",53,2,5
5,"1",21,2,5
5,"1",34,3,5
5,"1",19,2,5
5,"2",15,1,5
5,"2",61,0,4
5,"2",44,1,4
5,"1",3,0,4
5,"2",9,1,4
5,"2",63,0,4
8,"1",30,2,4
8,"2",25,2,4
8,"1",10,0,4
8,"1",0,0,4
8,"2",60,0,4
8,"2",4,0,4
8,"1",28,2,4
8,"1",19,2,4
6,"1",28,1,4
6,"2",25,2,4
6,"2",6,0,4
6,"1",1,0,4
6,"2",24,2,4
6,"2",1,0,4
6,"2",36,1,5
6,"1",38,2,5
6,"2",18,1,5
6,"2",7,0,5
6,"1",7,0,5
6,"2",12,1,5
5,"2",35,0,4
5,"1",40,1,4
5,"2",8,0,4
5,"2",12,0,4
5,"2",18,1,4
4,"1",53,3,4
4,"2",79,0,4
4,"2",27,3,4
4,"2",18,2,4
3,"1",22,2,3
3,"2",20,2,3
3,"1",12,1,3
4,"1",32,3,5
4,"2",27,2,5
4,"1",7,0,5
4,"2",3,0,5
8,"2",56,2,4
8,"1",56,2,4
8,"2",15,1,4
8,"1",15,1,4
8,"2",7,1,4
8,"2",7,0,4
8,"1",29,2,4
8,"1",2,0,4
6,"2",60,0,5
6,"2",17,1,5
6,"1",16,1,5
6,"2",6,0,5
6,"1",4,0,5
6,"2",22,2,5
4,"1",35,2,5
4,"1",23,2,5
4,"1",20,2,5
4,"2",18,2,5
6,"2",38,1,4
6,"1",22,2,4
6,"2",16,2,4
6,"1",12,1,4
6,"1",12,1,4
6,"1",7,1,4
5,"1",28,3,4
5,"2",24,2,4
5,"1",3,0,4
5,"1",1,0,4
5,"2",10,1,4
5,"1",34,3,4
5,"1",35,3,4
5,"2",26,3,4
5,"1",8,1,4
5,"2",5,0,4
6,"2",29,2,4
6,"2",8,1,4
6,"2",18,1,4
6,"2",20,1,4
6,"2",1,0,4
6,"1",4,0,4
3,"1",28,3,5
3,"2",28,3,5
3,"2",9,1,5
8,"1",46,3,5
8,"2",36,3,5
8,"1",6,1,5
8,"2",0,0,5
8,"2",20,2,5
8,"1",16,2,5
8,"1",18,2,5
8,"1",24,3,5
7,"1",45,3,5
7,"2",45,3,5
7,"2",6,1,5
7,"1",32,3,5
7,"1",25,3,5
7,"2",15,2,5
7,"2",18,2,5
3,"2",38,2,5
3,"1",17,2,5
3,"2",15,1,5
1,"1",65,0,3
1,"1",45,2,5
4,"1",24,2,4
4,"2",22,1,4
4,"1",4,0,4
4,"2",2,0,4
3,"1",32,3,5
3,"2",31,2,5
3,"2",4,0,5
10,"2",56,2,5
10,"1",41,2,5
10,"2",36,2,5
10,"1",14,2,5
10,"1",10,1,5
10,"2",10,1,5
10,"1",0,0,5
10,"2",39,2,5
10,"2",10,1,5
10,"1",2,0,5
5,"2",35,3,5
5,"1",47,3,5
5,"2",14,1,5
5,"2",9,1,5
5,"2",2,0,5
2,"2",26,2,4
2,"1",31,3,4
8,"1",45,3,5
8,"2",39,0,5
8,"2",17,2,5
8,"1",21,2,5
8,"1",14,2,5
8,"1",7,1,5
8,"1",7,0,5
8,"2",85,0,5
10,"2",56,0,4
10,"1",22,2,4
10,"1",26,2,4
10,"2",16,2,4
10,"1",15,2,4
10,"2",11,1,4
10,"2",9,1,4
10,"1",4,0,4
10,"1",35,0,4
10,"2",14,1,4
1,"1",20,3,5
1,"1",48,2,5
4,"2",29,2,5
4,"1",28,2,5
4,"1",3,0,5
4,"1",7,1,5
5,"2",42,0,4
5,"2",20,3,4
5,"1",17,2,4
5,"1",11,2,4
5,"2",1,0,4
3,"1",40,2,4
3,"2",31,1,4
3,"1",12,1,4
11,"1",49,1,5
11,"2",28,2,5
11,"1",22,2,5
11,"1",20,2,5
11,"1",4,0,5
11,"2",12,1,5
11,"2",17,2,5
11,"2",77,0,5
11,"1",20,2,5
11,"2",18,2,5
11,"1",2,0,5
6,"2",44,2,4
6,"2",5,0,4
6,"2",15,1,4
6,"1",38,2,4
6,"2",5,0,4
6,"1",8,0,4
3,"2",31,2,3
3,"2",18,2,3
3,"1",5,0,3
1,"1",49,3,5
2,"2",48,2,3
2,"1",53,1,3
1,"2",29,3,5
3,"1",35,2,4
3,"2",27,0,4
3,"1",6,0,4
5,"2",30,1,3
5,"1",32,2,3
5,"2",11,1,3
5,"1",8,0,3
5,"2",2,0,3
2,"2",36,3,5
2,"1",49,2,5
